Student name,College,College Status,GPA,SAT Score [2400],SAT Score [1600],ACT score
Anna,Amherst,Accepted,3.8,2400,1600,35
Bobby,Amherst,Denied,2.7,,,32
Caleigh,Amherst,Waitlisted or Deferred (Denied),1.6,,1500,
Darren,Amherst,Waitlisted or Deferred (Accepted),1.5,1300,,
Edgar,Amherst,Waitlisted or Deferred,2.4,,,24
Anna,Babson,Accepted,2.8,1400,600,25
Bobby,Babson,Denied,1.7,,,22
Caleigh,Babson,Waitlisted or Deferred (Denied),0.6,,500,
Darren,Babson,Waitlisted or Deferred (Accepted),0.5,300,,
Edgar,Babson,Waitlisted or Deferred,1.4,,,14
